yourlist:M201911176746803381A1F0E0DB47453E0216320D0D7341K	Entry
127693	Q6GMR7
119365	Q9UII4
122304	Q8TB45
115182	Q86YS7
113363	P62258
230183	Q3UDE2
120244	Q9NXB9
202212	P97350
232018	Q8BFY9
124387	Q96RS6
127119	Q8IUL8
121485	Q9H8E8
115165	Q92546
108468	P05413
117175	Q9BWW4
230403	Q7TSG1
109028	P36959
112539	O00570
534966	Q3I5F7
117193	Q9UHP9
125820	Q96DP5
31791	Q05359
110694	P01106
116030	O43559
122101	Q9H1B7
120856	Q8N6T3
124711	Q8IY31
125359	Q96PX8
111916	P35249
116406	Q9UKY1
127287	Q6ICB4
255374	Q6PCT3
35141	P34760
106603	P35609
116338	Q12841
123227	Q9H2F5
31369	P13186
198462	P28652
32134	P38958
118089	Q3SYG4
200601	O88351
198404	O08901
117293	Q93015
124506	Q9BY89
107066	P21953
203021	O35214
111680	Q99460
117691	Q96A26
112192	Q99584
111870	P98179
122110	Q9BX79
119720	Q9BT40
117379	Q9HCU9
112255	P13501
121239	P57077
125639	Q86XK3
3509104	P03213
3509104	P03219
3509104	P12977
3509104	P13285
125623	Q5T4F4
158875	Q6B856
127829	Q8NG57
126062	Q96DD0
113995	P37802
125238	Q71RC2
202199	P23298
111122	P40425
107040	P25311
218334	Q80UF4
221196	Q8BZQ7
211904	Q9D0F1
111831	P04049
107933	P20813
126432	Q6P9F5
207692	Q8K2T8
121463	Q9Y5W7
199433	P54320
111475	P23284
115458	O43374
121693	Q9P1Z0
224352	Q99LB6
127870	Q8NFQ8
127870	Q9H496
248780	O35815
198156	P09813
114372	Q13686
119824	Q9HCP0
122294	Q6UUV7
117500	Q8WWN9
248180	Q9Z214
116823	Q86TI0
115271	O95825
202156	O09101
118021	Q9Y283
120086	P22310
941018	Q8TEE9
114272	Q9UKX3
238175	Q5RJI5
116930	Q9BZ29
138926	Q8TED1
113501	Q9UQR1
114401	O75312
198057	Q60823
111465	Q15648
129584	Q96JM3
201664	Q9WTI7
109247	P46976
121537	Q9HCP6
111410	P11086
110411	P16455
119105	Q9NYX4
107164	O43683
124269	Q8NI38
126242	Q86Y78
126267	Q96A23
124536	Q9C0B0
107832	P41240
119661	Q96SZ6
276298	Q9UUE6
261372	Q5XIF6
112370	O60902
113755	Q14714
121181	Q9NQ32
123686	Q9BVT8
34031	P14904
120959	Q2M2Z5
127480	Q8NBW4
116228	Q9P1W9
114538	A2RUG3
114538	O14609
114095	Q13574
114864	Q9UQF2
119426	P57682
129792	P25391
106524	P01023
202341	P63330
117453	Q8NBN3
125836	Q96NB1
115779	Q92993
118790	Q9Y2P4
235109	Q64524
129283	O75663
277575	O60060
131533	Q494V2
117744	Q9UGC6
125410	Q969T7
122589	Q9BU64
111678	P62195
113114	Q16762
107309	Q01196
126455	P58546
113016	P55327
124636	Q969F0
111488	O60437
108843	P24046
115230	O43295
278261	Q92352
112882	Q12800
211136	Q8R0W6
121820	Q9NQG5
111937	Q02094
114748	O95721
121137	Q9NQA5
212624	Q9CQE8
113180	P68036
110124	P06239
121011	Q9UH03
32961	P38342
200966	Q60793
112401	Q15758
108165	Q99576
106565	P10323
113831	Q16600
119318	Q9UIL8
121681	A7E2Y1
111909	Q92785
34881	P40481
238004	Q587J6
109553	O75054
114751	O95803
125538	Q86YW9
113419	P28698
211793	Q9DBH0
106903	P15289
111921	P22670
124781	Q96AP7
114848	Q9UJF2
114199	O95342
139024,126629	Q8WTQ1
114336	Q9HB29
122081	Q9H1B5
121937	Q9BQ52
122715	Q6ZS17
125408	Q8N884
125588	Q8TDI8
127833	Q6ZNG1
122078	Q9GZM7
33726	P16474
112156	Q9BST9
115127	Q9UJD0
126101	Q96A04
114018	Q92698
127945	Q8IY84
123796	Q9BXI2
108144	Q01658
119636	Q7L5D6
111124	P11498
32606	P07251
114989	O95837
279294	P52808
107047	O14867
123714	Q8TF09
108796	P01350
107712	O15431
110768	P19878
121780	Q5TID7
110443	Q03164
123095	Q86VH4
108089	P56177
116345	Q9UKP5
115968	Q9UMS5
129155	Q8N6N6
123555	Q9H211
119008	Q9NYP3
116935	O94901
123228	Q17RY0
122803	Q7Z7D3
115475	O60504
116428	Q16378
114132	Q13769
1613894	P70096
32893	P12709
111925	P48382
107816	Q08257
121547	Q9ULL8
116504	Q8NFZ3
106924	P07306
116351	O43280
120946	Q66LE6
125349	Q7Z2K8
230076	Q8VE38
119000	Q9Y561
121134	Q8TEW0
112163	P30622
122282	Q9H6K1
117377	Q5T6F0
204791	P50096
121375	Q9GZR2
108469	Q01469
203037	Q9WTM5
113150	P14679
125188	Q7Z6L0
120481	Q5VTB9
112732	P25103
117403	Q96AZ1
119922	P99999
218188	Q8R516
127024	Q86Y91
114729	P61201
112339	P35247
124225	Q96JA3
124523	Q8WWL7
120598	Q9HA92
109702	P01344
123923	Q9H6X5
213691	Q8CH72
110758	O43776
120515	Q8N5G2
200101	P19157
109426	P52597
120992	Q9NQZ6
120516	Q8IYD2
205144	P70399
121122	Q7L2J0
116422	Q13342
126969	Q8TF47
198261	P50516
109831	Q9NQS7
248423	P18666
120403	Q9NWA0
211937	P63325
117299	Q5VUA4
125281	Q86VQ6
116906	Q9Y2E8
111251	P00558
128751	Q5TGL8
116817	Q6NYC1
120861	Q96EP1
135940	Q8N6N7
115525	Q14206
34157	P36121
120420	Q96A72
275752	O94601
114234	O76015
122442	P82930
116290	O14578
112724	Q9H2B2
113846	Q13112
114670	O75462
250176	Q99PD2
122842	Q9H9Z2
116688	Q9H4I2
120600	Q96EY4
112224	P48594
115245	O75063
122305	Q86VS3
234677	Q66T02
109149	P42263
119218	Q96GK7
107437	P55283
120304	Q8WUE5
217972	Q811M1
115268	O75191
107481	P49716
122012	Q96MA1
34030	P14742
121971	Q5XPI4
110308	P10636
132004	Q5BKY1
113553	Q86WZ6
118036	Q9ULD4
112928	P31483
122902	Q86V25
125690	Q8N8R7
111974	P78317
113145	P42681
125419	Q96CX2
111568	P05129
119511	Q8IUI8
32828	P16140
112038	P15927
124412	Q14CB8
117451	Q86X67
112852	O60927
207299	O88623
108238	Q05639
110350	P49901
130747	A1A5B4
112269	O00585
120982	Q9NPC7
111264	P35232
120396	Q9NWB7
199415	P23116
110799	P28331
114728	Q96BW5
122026	Q6PIW4
109863	P51617
116212	Q9Y2W6
123237	Q969K4
123926	Q9H9Y6
120733	Q9UGB7
115040	Q4ZG55
123272	Q9BYU1
107588	P61966
112170	P48443
121964	Q96GW7
128658	Q5RIA9
1529332,121908	Q9GZN2
31730	P39730
123852	Q9BWT6
127025	Q96C34
279010	Q10101
124465	Q8TES7
117079	Q8WYR1
128982	Q6ZRQ5
121007	Q9UDW3
123979	Q9BQI5
121889	Q9GZX5
107638	P51679
127131	Q9UFG5
121509	Q9HBL8
1227747	P46587
106842	P02656
122376	Q9BXM7
118925	Q9ULC8
115024	O60841
276764	Q9UST4
114891	Q99999
136313	A8MT65
126083	Q8N0U7
126329	Q8TC71
123548	Q9BTT0
115836	Q9NNW7
114343	Q96JK2
109299	P09105
115907	Q5SRN2
113234	P07919
231551	Q6PDL0
113286	P62760
118881	Q9UHR5
109820	Q01167
129009	Q6ZU65
121640	Q4ADV7
117619	Q9ULZ2
198244	P14094
117468	Q8WUA8
116025	Q86UR1
106621	Q08828
113994	P78539
112689	O00204
117938	Q9Y2T2
106818	Q99767
108806	Q9BYC5
123856	Q9H0U3
119962	Q6P3S6
127562	Q8NA54
108092	Q92988
116115	Q9Y2Z0
111421	P49005
110404	Q09327
123810	Q9BYQ4
114028	Q13620
120117	Q14964
129857	Q0D2J5
117466	Q8NEJ9
112945	Q04726
128238	Q8IWV7
122396	Q9BZI7
116165	Q12829
110397	P55083
227759	Q99MS7
106685	Q15109
248437	O35158
115107	O94900
112271	P55773
122336	Q9H5V8
113997	Q9UBK9
117543	Q5JTV8
111650	Q00889
201774	O55125
121220	Q8TC05
109887	Q13349
131954	Q96GI7
109180	P30101
131364	Q8TBP5
108830	P34903
228239	Q91Z69
212468	Q99KV1
121373	Q86YH6
131484	Q8TB61
275983	P55306
125877	A8K4G0
115225	Q92562
127743	Q5T655
36355	P14020
109942	P22459
111017	Q02218
124694	Q8WTV1
114322	O14798
106690	P01019
107361	P30203
36087	P21825
214952	Q5U4F6
107029	Q12756
106767	P23109
114378	O43150
111675	P17980
124625	Q86YW0
108406	O95718
107607	P49760
114446	A6ZKI3
111448	P09086
120547	Q9BV57
132934	Q6AI14
106623	O60266
113241	O94782
234898	P63242
115834	Q9Y6A1
119216	Q9GZP9
116550	O94985
128569	Q6ZVD7
121491	Q9BQF6
6851	Q39085
35478	Q03579
124338	Q6UX71
109343	P15822
198882	Q60748
119651	Q9Y3B4
117356	Q99757
36317	Q12207
34488	Q12511
128377	Q96CN5
114324	O95171
121808	Q9GZW8
130836	Q96IZ6
121119	Q5VTR2
109985	P51787
129140	Q5HYL7
34195	P36023
120331	Q9NWT8
119724	Q96T23
115441	Q8IY57
120158	Q05BQ5
116514	Q7L804
126611	Q8WWX0
126118	Q17R31
114926	O75396
204317	Q9Z1Y4
107449	O75309
121372	Q8WUY8
208496	O35593
115712	Q92520
123906	Q969M1
123002	Q9C093
107895	O60911
109186	P49840
570168	Q6ZMN8
116891	Q8TD16
113353	P13010
112875	Q15569
124829	Q96LY2
230590	Q921I0
137211	Q5I0X4
136335	Q08AG7
111799	P62820
125549	Q99490
107151	P43251
124425	Q8IUZ5
111682	O43242
108621	P02751
133896	Q6GMV3
133302	A6NNY8
107755	P16870
114991	P53992
129222	Q8NHG7
109429	P55795
122508	Q9BVI4
122961	Q6ZVK8
106983	P23634
249365	Q9WV48
108149	P21917
117963	P98194
206025	O08539
115501	O60858
159404	P68509
276804	Q09171
115646	Q9BPX6
110588	Q9UJ68
127407	Q7Z7J5
123931	Q8TD26
127149	Q8N6N3
212848	Q8BZH0
200104	O09131
117167	Q86X45
609634	P41597
110237	P50895
133180	A0PJY2
127289	Q8NET5
1776948	F5HIN0
120580	Q8IX04
34863	P40469
114189	O43805
112063	P84098
208140	Q9JM13
200643	Q00560
109322	P06865
114217	Q13347
110670	Q02817
115157	Q9BVL2
211293	Q9CR26
106768	Q01433
5618	Q0WNJ6
108390	P84090
33949	P28272
117017	O75533
247455	P23928
34492	P40994
120544	Q9NV66
114614	O43283
119628	O60888
124917	Q8WUN7
107462	P49918
114468	O75676
115084	P50748
110849	Q14934
113406	P17035
115305	Q96FV9
124215	Q96KJ9
123924	Q9H6X2
110951	Q86VF7
127758	Q8NA57
116741	Q96JB3
278892	O13784
134637	Q9P086
126047	A6PVS8
41009	P50488
213325	Q8K136
111333	P55347
124750	Q8IUE0
123217	Q9H6R7
112078	P47914
230580	Q05D44
119268	Q9Y324
117088	Q9BYH1
109075	P55259
114733	Q15642
116470	O43567
110492	P40238
123811	Q9BYQ3
299834	Q6DKI7
122002	Q5HYK9
117642	O75952
121913	Q9BYV9
110785	O95299
132133	P60369
116948	Q96KQ4
122769	Q9GZN7
201180	P61969
32243	Q03940
108840	P18507
128797	Q8N7W2
112921	P52888
115416	Q9HBY8
256986	Q5PQL2
132744	Q86XN6
115124	Q92508
112680	Q13190
116726	Q6SZW1
113246	O15550
126438	Q96L11
116437	P78424
120895	Q5T6L9
109571	P98160
120394	Q8TBJ5
114304	Q99747
108954	P36269
110595	P04731
112551	Q02086
112777	P21731
114522	O43252
120405	Q96HA8
124794	Q96LD4
128987	Q6ZMG9
129726	Q8WVB3
111577	P78527
112869	Q02763
259950	Q5XI05
108258	P13639
203363	Q9Z266
116822	Q9Y520
123757	Q7RTX0
109303	P05546
128793	Q6IQ20
17014	Q8L940
247643	O35346
113212	P36537
112354	Q99963
6954	Q9LT47
133227	Q8IXT5
110721	P60660
107826	P32927
276365	Q9Y823
109931	P14923
128216	Q8IZD4
107074	P20749
117173	Q8IV08
260504	Q2TL32
119875	Q9NYP9
34216	P22354
201691	P51860
36489	P23285
117455	Q9NRF2
121624	A5YM72
36076	Q02875
33089	P53107
119822	Q9BXU8
109902	P26012
127114	Q8IUC6
250643	P63074
230712	Q80UK0
7373	Q56YU0
120907	Q9NUL7
120604	Q9BRS8
121805	Q9H2A7
133233	Q8NHW3
110378	Q13233
212001	F6W8I0
212001	Q9ERS2
112050	P62424
215371	Q8QZZ8
125199	Q6PEY2
120699	Q9BSK4
116542	Q9Y6X5
120277	Q9NX45
117307	O95567
221978	Q8K1K4
31141	P07560
120305	Q9BUB7
107500	Q9Y281
135946	Q5T681
205125	P12970
249255	Q08851
121594	Q6UXG2
32027	P32381
106645	P35318
120954	Q8IWB9
110430	P30301
198637	P15116
236625	B2RWS6
123545	Q6UN15
112760	P26639
125460	Q96CM4
116355	O95050
131055	Q8IVQ6
108409	P13804
119449	Q9P2T0
200510	O88844
118883	Q9NPI1
123180	Q53HC0
97869	Q91618
9810	P45724
257900	Q5FVQ4
114179	O95456
116694	Q96AJ1
119672	Q96BY9
112276	P42830
120345	Q9NWR8
223068	Q91VJ4
113019	P17752
107110	P54132
34867	P40471
117560	Q9Y6I7
31160	P43593
129056	Q8IYP9
218579	Q9CX30
106553	P16219
122671	Q64LD2
114827	O95944
117713	Q9NRU3
120858	Q8N8S7
35415	Q05029
198069	P45376
120037	Q9NVN8
1678095	F5HE05
115751	O43889
110865	Q12986
117334	P29536
124103	Q96JJ6
124213	Q68CJ9
113622	Q93009
36333	P06738
207282	Q99JX7
126793	Q6IS14
115866	Q9H1D9
204845	P54775
120371	A5D8V6
107174	P02746
131207	Q494X3
608294	O14715
122320	Q8TB22
132471	Q52MB2
119004	Q9NQ94
112632	P31391
128496	Q8NDZ4
609497	A6NIR3
109759	P15814
122940	Q86UT5
111137	Q16822
123122	Q9H611
121152	Q9NS84
115645	Q9Y5W3
114055	O75665
113148	P29597
108356	P29320
120930	Q9H270
127410	Q76M96
116484	Q9UKT9
117544	Q9Y3X0
109285	P12081
121717	Q9HCI6
971789	Q8AZJ5
116131	Q15311
35163	P19880
120680	Q9HBU6
119339	Q9UK55
125556	Q8NEC5
198359	P25916
124484	Q3SXP7
120932	Q9BY49
109093	P48146
118953	O00418
123178	Q86XN7
1148096	B9A064
119256	Q71UM5
119638	Q9Y282
120508	Q8IWZ6
111753	P23468
34842	P32354
32624	P38181
129677	Q5JPE7
110415	O14880
204458	Q9CQ69
678886	Q04929
116991	Q15155
112209	Q12999
115285	Q9Y6I4
116154	Q14554
118945	Q9P2W1
126257	Q8N755
112182	P33764
115031	Q6PFW1
278384	O13696
117515	Q9UQ16
122286	Q9H5F2
14001	P49597
109826	O14732
109935	P27701
108479	P16930
158448	P49951
125007	O95897
216501	Q99LG0
115897	Q15126
112148	P62857
203541	Q9WTK7
128811	Q8TAF8
127117	Q96NL3
35877	P39008
246431	P15791
123623	Q9BXR0
120469	Q96LA8
114415	Q13614
116244	O00308
112701	Q15526
119299	Q53H82
106596	O43707
113017	Q16890
122657	Q9C0J1
116281	Q9BUJ2
4263558	P03129
127996	Q8N8B7
971420	P04294
126482	Q96MH6
971442	P10231
115038	Q14677
137417	Q50LG9
118061	Q9NRI5
277315	O74340
114441	Q9UPA5
120242	Q6ZP29
116568	Q9Y2G9
114282	O75077
32447	Q04149
106999	P56381
122653	Q2QGD7
124160	Q9H156
120097	Q9BX10
126519	Q8N5L8
198891	O08553
107747	Q7KZN9
207921	Q9JHI5
124185	Q86TC9
119532	Q9UBT6
116224	Q9Y572
121413	Q8N3S3
114236	O76013
110095	O00515
113139	O00295
248212	Q9Z1X1
125043	Q5JTD0
126495	Q2VYF4
116448	Q9UBG7
215383	Q91YK2
113323	Q14191
248118	Q62638
111246	P20142
138928	Q5GAN4
124257	Q86Y97
111260	P06401
115967	Q9NZH5
35042	Q04201
2397	O81716
122096	Q5VX52
122793	Q8N3A8
112769	P05543
112185	P06703
198467	P35564
116959	Q9Y6X3
207615	Q9JK38
112132	P08708
231129	Q571G4
279339	Q09788
120119	Q99549
276100	O59797
111570	P41743
110038	O00629
109231	Q8WUA4
110275,129334	P43356
113295	O43516
199420	P63073
125899	Q53EL9
117269	Q9NZU1
131893	P0C7W6
114637	Q14202
109430	P31942
114560	Q9NYA4
31918	P39078
111404	P54278
219759	Q75NR7
111477	Q08752
34346	Q08224
115707	Q99595
110754	P55209
212191	Q8R0F6
133131	Q6UXV0
126371	Q8WWF8
251094	Q06646
109472	P31249
34374	Q08176
115086	Q5JY77
121383	O95925
110864	Q6P4R8
124726	Q96FV2
32886	P38302
116070	Q8NHL6
124017	Q96L46
119239	Q04323
116800	Q7L576
108946	P19440
115134	Q14692
123658	Q9BW11
114386	P56645
109391	P26583
121441	Q9GZU1
278943	O13848
108639	Q05932
202431	O35226
123957	Q9H095
219842	Q9JJN0
116156	Q13438
108221	P30084
118092	Q9Y6P5
111232	P17858
121652	Q9P272
111113	Q02548
128229	Q8NFM4
107426	Q99741
124399	Q96NM4
110000	P33176
121719	Q96PQ6
200135	P04187
129915	Q5VXT5
249837	P08081
108610	P36888
278834	Q9US22
124624	Q96JE7
115616	Q9Y2C9
107713	O15432
200201	Q61425
118857	Q9P015
217689	Q9D5V5
230161	Q80ZW2
276002	O74533
117125	Q5T2R2
125341	Q96LB9
115174	Q14691
119260	Q5T653
237877	Q9D275
98234	P47812
131519	P59797
116399	Q9UPZ3
114215	O75821
129958	Q8NBC4
117399	Q7Z7G0
119377	Q9BSH4
122413	Q9H799
123128	Q8ND07
33676	P06105
128640	Q86UD1
127266	Q5GH77
231087	Q8CGI1
117344	O95379
276969	Q9URM2
107009	P21281
202996	P08775
230228	Q99JN2
609760	Q96Q06
109848	O15357
1178429	P08682
35973	Q12211
279270	Q02787
114425	Q9P0X4
213630	Q4LDD4
34154	P36118
120925	Q2TAA8
124939	O95561
112674	O43815
117124	Q9Y2V2
121729	Q6ZS81
122978	Q499Z4
211916	P62627
124910	Q96HP4
249693	Q9Z340
114203	O15524
116640	Q12766
129429	Q86UX6
117569	Q8TEL6
120587	Q8TCG2
106608	Q13705
109584	P28221
119712	Q9P298
107179	P01024
120830	Q96P70
126821	Q2TBE0
123546	Q96L92
116742	O94823
122965	Q8WVC6
201279	O35182
119828	Q9NSI6
121639	Q9P2B7
277661	P78812
108286	Q14232
115675	O14777
278793	Q09820
1677993	F5HHZ3
1677993	P16815
112948	Q9Y6L7
124491	Q9C035
110810	Q9Y295
110872	Q02575
103448	P02281
117429	Q8TEQ6
110474	P51948
110234	Q16873
106656	P25100
198141	Q9QXJ1
276362	O74191
127761	Q6ZUT9
3509203	Q02842
33882	P47161
112755	O15533
199257	P39053
211305	Q9CQJ8
108521	P10109
107880	P35222
250093	Q9WTQ1
112636	O60225
35101	P54784
159016	P04975
278804	O13736
119367	Q9UID6
110046	P04264
115317	O43819
126666	O94964
32528	Q03362
108138	P42658
119809	Q9BYJ4
121392	Q9HD33
119107	Q6IWH7
111567	Q02156
121399	Q9HAU8
114511	O00170
573352	A8MUZ8
573352	P0CI00
6041	Q9LH76
126476	A1XBS5
117967	Q9Y286
106548	P09110
200082	Q02591
277782	P87048
110287	O15479
114089	Q9Y6K9
125351	Q6KCM7
203547	O70126
36807	P28240
116723	O60333
124537	Q9C0B2
107118	P12643
112571	P16150
115803	Q92747
116789	Q76N32
124814	Q4ZIN3
276920	Q9Y705
116289	P31937
36577	P40422
120306	Q9NWY4
6957	O24606
124060	Q96IK0
205156	Q9QYE9
116106	Q59EK9
130110	Q3SXM0
123748	P0C5Z0
115742	Q92581
108853	O14976
114723	Q9UHC3
106874	P49703
116325	Q9Y587
117018	Q9UKU9
232034	Q8BL80
112353	Q99962
36897	P13393
116425	Q96H20
121559	Q8NFD5
201387	P55258
124391	Q5T5S1
123233	Q3SY56
119456	Q9NPC2
128702	Q5TCS8
122046	Q9H477
111664	P49720
248889	O08838
113164	P0CG48
114090	O95163
115750	Q01518
247837	Q07009
115795	Q92688
119793	Q9H228
109907	Q08881
122878	Q8NC06
118887	Q9UI38
116565	Q96EG1
110942	P20594
31099	P43555
106667	P30566
122864	Q8TAD8
112478	P28370
278615	Q10107
116259	O94811
122019	Q9H1H9
107772	P29762
116830	Q8WXH0
119507	Q6UW56
125244	Q6UWH6
279017	O14112
107385	P28906
107831	Q14406
33062	P33892
121544	Q9ULM2
124320	Q53GL7
121078	Q9Y5I1
121500	Q9HBJ8
123901	Q8IWA0
131650	Q5T5A8
126024	Q5TF58
114350	O43320
121565	Q9ULH0
121395	Q9NR34
202918	Q9WTV7
123250	Q5TEA6
131506	Q495B1
201719	Q91YT0
131583	Q8NAP1
109524	P80365
126601	Q8IUC0
299841	A6ND91
32667	P18239
107353	P04234
130429	Q96BN6
125518	Q6Q788
123827	Q8WWV6
116086	Q02985
124008	Q9BSF0
124033	Q8NF99
111445	P28069
122415	Q53F39
115600	Q9HB89
129100	Q8N4U5
32823	P38088
127199	Q5VWK5
121183	Q9NQ35
112736	Q6P1X5
72791	Q9U1H0
122522	Q9H5J4
128621	Q8IWF9
276315	O60101
118119	Q53GG5
128269	Q8NA92
112039	P35244
117273	O95696
108120	O43237
106958	P18848
110023	Q13241
124239	Q6P4F1
110480	Q9NZB8
121031	Q9HBU1
36039	Q12245
130333	Q8N9R8
115806	O15120
123935	Q5U3C3
200654	P70168
120672	Q8N6G5
277169	O94658
111828	Q9UQ07
111514	Q9Y2T4
123879	Q8TB52
120349	Q9NWQ9
241423	O09106
121505	Q9UL26
114070	Q9H6Z4
23622	Q9LMT1
114984	Q6ZMQ8
115437	P51572
107684	P29400
278671	P40984
125235	Q96FF7
115168	Q14142
198717	Q62225
128365	Q7Z7K6
31916	P53622
33430	P53297
125286	Q96QE2
124392	Q96IG2
114707	Q9Y2T5
204378	Q7TMM9
112907	Q03167
120626	Q86YA3
32978	P38150
198181	P14869
198298	Q60739
3190352	E9PB15
116199	Q13007
112448	P55017
110232	Q9NS15
204961	O35099
121388	Q8IUK5
125583	Q8N3T1
109572	P52848
278691	O13878
32720	P38217
115445	Q99996
112099	P04843
36268	P0C0W9
118864	Q53FV1
127748	Q8NCR3
115487	O14530
121695	Q9P1Y5
108491	P35544
202414	P49769
122756	Q6P589
117267	Q9NZU0
127988	Q8NEA6
121431	Q9ULJ7
126518	A6NKF2
115808	P78345
124307	Q96II8
201534	P26041
120694	Q9H777
121250	Q9GZQ4
121548	Q70CQ4
130035	Q6ZNE9
119186	Q9BQB4
113921	Q9H461
198168	P08030
124086	Q6H8Q1
106728	P04075
128193	Q6UWV2
117406	Q96PM5
114573	Q92600
124797	Q8NA19
121975	Q9H5I5
109545	P38646
106564	P21399
115027	O75056
36247	P23254
219641	Q3UMY5
117321	O95073
117321	Q9Y620
106665	P25098
116208	Q13445
211782	P63154
3190633	I6L899
111777	Q92692
110193	Q8WWI1
120021	Q8N5N7
131086	Q86X51
200291	Q60987
126773	Q8WXH6
120359	Q9NWN3
201352	P53995
128575	Q8ND76
134697	Q2NL98
217725	Q9D620
119640	Q9Y328
121833	Q9NRP0
278231	O94438
116918	Q96AY4
112795	Q9NQB0
124725	Q96FV0
266948	Q6UPR8
62106	P62152
115727	Q8WXW3
127785	Q7Z553
129431	Q6QNY1
121446	Q9P241
128288	Q6NZ36
138936	Q96E39
279114	Q9UTP0
113021	P09493
118161	Q8IVS2
109955	P15382
277993	O14049
122501	Q9BQD3
114887	O95450
108498	P24071
131188	Q6IEE8
112531	P04179
119131	Q15738
230316	Q8R0K2
116797	Q86UU1
117975	Q15327
119487	Q9BZJ0
110493	P05164
123330	Q9C0E4
109232	P33402
129716	Q8NCF0
26214	Q8VZN9
121720	Q86T82
120736	Q9HBM0
280056	P52822
43363	P42573
206176	Q76MZ3
125198	Q6IPT2
112966	P28289
110055	P35527
122185	Q96PZ7
115287	Q9UGH3
124519	Q86VW1
114638	O95789
204500	P27870
31638	P32915
110021	P26717
129751	Q8N841
124912	Q0D2K3
111590	Q02750
33505	P00924
124043	Q96NT0
277565	O94354
214531	Q6KCD5
123536	P13994
31800	P22209
111058	Q15070
115611	O43402
122977	Q9H3C7
134967	Q6MZT1
277491	O43026
118028	Q9ULE6
115744	Q92826
248735	Q9JJ19
120529	A0AVT1
123571	Q9BXJ7
114664	P24001
114224	O75558
106784	Q01484
112923	P10827
575724	P14598
32779	P38247
119810	Q9HBB8
278956	P78854
115752	Q15345
122136	Q8NHY2
109367	P01903
109262	P16402
120025	Q8WZ75
121986	Q8TDH9
115191	Q5VT06
121094	Q96MG7
113810	P52198
126313	Q8N112
112420	P30531
113760	P51114
119475	Q8IVW1
116671	Q8TEY7
108008	O43602
122884	Q7Z406
119823	O94779
119422	Q9P0Z9
126577	Q8TD90
113451	Q15937
106552	P11310
206185	Q8VEK3
110356	P40926
110679	O15146
129470	Q8N413
278941	O14007
106900	P36575
127630	Q8IVN8
125864	Q7Z2F6
117668	Q9NP61
107407	Q07108
114569	O15375
200857	Q62120
230579	Q8R5C5
110006	Q99706
110078	P08727
126998	Q6UX73
127417	Q9H4G4
114885	O75173
212454	Q3UJU9
117357	Q9Y519
116138	Q9H4M9
108380	P18074
106619	Q9NS39
110594	P35548
110886	O95096
121826	Q8NDX9
119971	Q9NY74
113495	P52746
117734	O60404
124376	Q6P4I2
33319	P53248
114190	O60516
111697	P26599
110912	O95628
124027	Q5TDH0
128443	Q96NA8
119608	Q5TDP6
275810	P78831
115449	Q8IX01
126578	A2A368
246668	P49134
120328	Q9NWU1
129112	Q17RW2
122874	Q96J42
123947	Q5TYW2
936684	P0C870
121295	Q9P2F5
124799	Q5HYA8
204975	P33242
122108	Q9H3S1
110939	P16860
108007	Q14203
204277	Q64511
112560	P09486
212408	Q9CR16
106674	Q8IUX7
117067	O43423
128620	Q8IXT1
215214	Q9D071
198355	Q60636
108307	P30740
109861	Q9Y573
112874	O14746
212203	Q9DBY8
36213	P32288
199489	P42567
116267	Q9UKF2
108476	P33121
124584	Q96EU6
106556	P24752
115792	Q16520
121775	Q8N163
129701	Q8NBZ0
113365	Q04917
127854	Q8IZ63
211826	Q8K363
111585	P45983
116704	Q9BS26
130083	Q4G0N8
110039	O15131
198537	O55187
121904	Q9HAV5
122980	Q8IYQ7
120055	Q9HAW7
114970	Q16568
124853	Q8WUH1
113025	P51580
34596	P38934
128788	Q6PCB5
116962	Q8IVD9
114280	P50591
122749	Q8IV13
205086	O54692
249569	P35400
121042	Q9Y5G1
32366	Q06651
128464	Q68DC2
121101	Q9BYG8
117165	P37198
610358	Q502X0
107552	Q99698
106856	Q92482
109770	P14778
124837	Q504Y2
127330	Q7RTU1
130063	Q8N2I2
119387	Q9P2Y4
119736	Q9NZK5
127043	Q8TF74
123244	Q6PIL6
122561	Q9BUL5
203215	P98083
122355	Q9H3R5
120309	Q24JP5
117439	Q96ST3
127219	Q96LX7
126045	Q6IPR3
130645	Q3SY46
124521	Q8IUC4
213316	Q99PR8
126399	Q8NI36
110168	P49916
121182	Q9NQ34
198926	Q9CZU6
109789	P16871
128664	Q7RTY1
111007	P11926
108211	Q9UH73
107311	O75081
111009	Q14990
109671	P01570
120169	Q6ULP2
199371	O54693
121671	Q9NR64
117645	Q8N3Y1
107471	Q92903
31966	P33775
275475	O74835
117178	O15031
106920	Q13510
118879	Q6UXA7
213337	Q9DAK3
100636	Q9YH16
124650	Q96DX4
114076	P56589
213921	Q6PFD6
115656	P68371
31567	P06106
204761	Q8C9B9
36699	P39987
113039	Q13114
68639	Q8SY33
124367	Q96K31
115463	P43657
109783	P05231
107388	Q14108
203361	Q02085
277395	O43063
113550	Q9NZL3
610251	P0DJD1
108795	Q9BTY2
108908	P02774
201331	Q9Z2E1
202033	P63015
116172	O14957
123537	Q3B7J2
128767	Q6PJG6
114102	Q66K79
167399	P62894
248321	Q9Z0W5
123509	Q9H2H9
123971	Q8N567
126785	Q5T2T1
37065	Q8TGQ7
121590	Q8IYU2
